Time Recorded,Total Apps,Store Entry Used
2018-02-21 22:22:54,1611,http://store.steampowered.com/search/?tags=21978&vrsupport=401

Steam App ID,Game Name,Price,Release Date,Positive Review Percentage,Reviews Count,Developer,Publisher,Genre,Category,Tags,Peak User Yesterday,Number of Owners,Number of Players,Percentage of Actual Players in the Owners
b'450540',"b'Hot Dogs, Horseshoes & Hand Grenades'",19.99,"b'Apr 5, 2016'",97%,1,"b'RUST LTD.'","b'RUST LTD.'","b'Action, Indie, Simulation, Early Access'","b'Single-player, VR Support'","b'Early Access (41), Simulation (37), Indie (34), Action (32), VR (27), Gun Customization (11), Sandbox (10), Shooter (9), FPS (9), Funny (7)'",95,-1 +/- ,-1 +/- ,b''%
b'578620',"b'GORN'",19.99,"b'Jul 10, 2017'",96%,1,"b'Free Lives'","b'Devolver Digital'","b'Violent, Gore, Action, Indie, Early Access'","b'Single-player, SteamVR Collectibles'","b'Early Access (51), Violent (46), VR (40), Gore (32), Action (32), Indie (28), Funny (14)'",91,-1 +/- ,-1 +/- ,b''%
b'342180',"b'Arizona Sunshine'",39.99,"b'Dec 6, 2016'",87%,2,"b'Vertigo Games, Jaywalkers Interactive'","b'Vertigo Games'","b'Violent, Gore, Action, Adventure, Indie'","b'Single-player, Multi-player, Online Multi-Player, Online Co-op, Steam Achievements, Steam Trading Cards, VR Support, SteamVR Collectibles, Steam Cloud, Steam Leaderboards'","b'Zombies (83), VR (71), Action (58), Horror (53), Adventure (52), Multiplayer (50), Gore (49), Indie (46), FPS (42), Violent (37), Survival (36), Survival Horror (34), Open World (25), Shooter (24), First-Person (24), Funny (9), Co-op (8), VR Only (1)'",188,-1 +/- ,-1 +/- ,b''%
b'748370',"b'STAND OUT : VR Battle Royale'",17.49,"b'Dec 8, 2017'",80%,417,"b'raptor lab'","b'raptor lab'","b'Violent, Action, Massively Multiplayer, Simulation, Early Access'","b'Multi-player, Online Multi-Player, Co-op, Online Co-op'","b'Early Access (28), Massively Multiplayer (25), Action (25), Violent (21), Simulation (21), VR (17), VR Only (1)'",72,-1 +/- ,-1 +/- ,b''%
b'418650',"b'Space Pirate Trainer'",14.99,"b'Oct 12, 2017'",96%,1,"b'I-Illusions'","b'I-Illusions'","b'Action'","b'Single-player, VR Support, SteamVR Collectibles'","b'Action (36), VR (34), Space (17), Great Soundtrack (14), Shooter (9), Pirates (7), First-Person (6), VR Only (1)'",51,-1 +/- ,-1 +/- ,b''%
b'488310',"b'Eleven: Table Tennis VR'",19.99,"b'Sep 22, 2016'",95%,887,"b'For Fun Labs'","b'For Fun Labs'","b'Casual, Simulation, Sports'","b'Single-player, Online Multi-Player'","b'Sports (26), Simulation (23), Casual (22), VR (15)'",13,-1 +/- ,-1 +/- ,b''%
b'590690',"b'Sprint Vector'",29.99,"b'Feb 8, 2018'",94%,266,"b'Survios'","b'Survios'","b'Action, Indie, Racing, Sports'","b'Single-player, Online Multi-Player, Cross-Platform Multiplayer'","b'Racing (25), Sports (23), Action (23), Indie (21), VR (11)'",24,-1 +/- ,-1 +/- ,b''%
b'496240',"b'Onward'",24.99,"b'Aug 29, 2016'",90%,2,"b'Downpour Interactive'","b'Downpour Interactive'","b'Violent, Action, Indie, Simulation, Strategy, Early Access'","b'Online Multi-Player, Online Co-op, SteamVR Collectibles'","b'Early Access (60), VR (54), Simulation (47), Action (45), Multiplayer (42), Strategy (33), Indie (33), Military (32), Shooter (32), FPS (31), Realistic (26), War (24), First-Person (23), Violent (23)'",113,-1 +/- ,-1 +/- ,b''%
b'617830',"b'SUPERHOT VR'",24.99,"b'May 25, 2017'",90%,1,"b'SUPERHOT Team'","b'SUPERHOT Team'","b'Action, Indie'","b'Single-player, Steam Achievements, SteamVR Collectibles'","b'Action (32), Indie (24), VR (24), Bullet Time (8), Shooter (8), VR Only (1)'",104,-1 +/- ,-1 +/- ,b''%
b'322770',"b'Vanishing Realms'",19.99,"b'Apr 5, 2016'",95%,2,"b'Indimo Labs LLC'","b'Indimo Labs LLC'","b'Action, Adventure, RPG, Early Access'","b'Single-player, Steam Achievements, VR Support'","b'Early Access (52), RPG (47), Adventure (40), Action (35), VR (34), First-Person (9)'",8,-1 +/- ,-1 +/- ,b''%
