Time Recorded,Total Apps,Store Entry Used,,,,,,,,,,,,
2/22/2018 11:25,1613,http://store.steampowered.com/search/?tags=21978&vrsupport=401,,,,,,,,,,,,
,,,,,,,,,,,,,,
Steam App ID,Game Name,Price,Release Date,Positive Review Percentage,Reviews Count,Developer,Publisher,Genre,Category,Tags,Peak User Yesterday,Number of Owners,Number of Players,Percentage of Actual Players in the Owners
578620,GORN,19.99,10-Jul-17,96%,1,Free Lives,Devolver Digital,"Violent, Gore, Action, Indie, Early Access","Single-player, SteamVR Collectibles","Early Access (51), Violent (46), VR (40), Action (32), Gore (32), Indie (28), Funny (14)",91,70027 +/- 8141,63346 +/- 7743,90.46%
450540,"Hot Dogs, Horseshoes & Hand Grenades",19.99,5-Apr-16,97%,1,RUST LTD.,RUST LTD.,"Action, Indie, Simulation, Early Access","Single-player, VR Support","Early Access (41), Simulation (37), Indie (34), Action (32), VR (27), Gun Customization (11), Sandbox (10), Shooter (9), FPS (9), Funny (7)",95,79183 +/- 8657,76461 +/- 8507,96.56%
611660,Fallout 4 VR,59.99,11-Dec-17,72%,1,Bethesda Game Studios,Bethesda Softworks,"Violent, RPG","Single-player, VR Support, SteamVR Collectibles","VR (67), RPG (56), Post-apocalyptic (53), Open World (53), Violent (46), Shooter (42), Singleplayer (39), Memes (35), Survival (28), Action (25), First-Person (22), FPS (22), Atmospheric (20), Adventure (17), Horror (11), Walking Simulator (11), Gore (10), Female Protagonist (9), Great Soundtrack (6), Psychological Horror (5)",275,108134 +/- 10116,93040 +/- 9384,86.04%
418650,Space Pirate Trainer,14.99,12-Oct-17,96%,1,I-Illusions,I-Illusions,Action,"Single-player, VR Support, SteamVR Collectibles","Action (36), VR (35), Space (17), Great Soundtrack (14), Shooter (9), Pirates (7), First-Person (6), VR Only (1)",51,150447 +/- 11932,126445 +/- 10939,84.05%
488310,Eleven: Table Tennis VR,19.99,22-Sep-16,95%,887,For Fun Labs,For Fun Labs,"Casual, Simulation, Sports","Single-player, Online Multi-Player","Sports (26), Simulation (23), Casual (22), VR (15)",13,42066 +/- 6310,38107 +/- 6006,90.59%
590690,Sprint Vector,29.99,8-Feb-18,94%,268,Survios,Survios,"Action, Indie, Racing, Sports","Single-player, Online Multi-Player, Cross-Platform Multiplayer","Racing (25), Sports (23), Action (23), Indie (21), VR (11)",24,6186 +/- 2420,4949 +/- 2164,80.00%
322770,Vanishing Realms™,19.99,5-Apr-16,95%,2,Indimo Labs LLC,Indimo Labs LLC,"Action, Adventure, RPG, Early Access","Single-player, Steam Achievements, VR Support","Early Access (52), RPG (47), Adventure (40), Action (35), VR (34), First-Person (9)",8,96751 +/- 9569,87843 +/- 9118,90.79%
617830,SUPERHOT VR,24.99,25-May-17,90%,1,SUPERHOT Team,SUPERHOT Team,"Action, Indie","Single-player, Steam Achievements, SteamVR Collectibles","Action (32), VR (24), Indie (24), Shooter (8), Bullet Time (8), VR Only (1)",104,114567 +/- 10413,105412 +/- 9988,92.01%
518580,Accounting,0,18-Oct-16,95%,1,"Crows Crows Crows, Squanchtendo",Crows Crows Crows,"Adventure, Indie",Single-player,"Adventure (27), Indie (27), VR (15), Comedy (12), Dark Humor (10), Free to Play (9), Horror (7)",10,203153 +/- 13865,143271 +/- 11644,70.52%
436820,Waltz of the Wizard,0,31-May-16,98%,900,Aldin Dynamics,Aldin Dynamics,"Adventure, Indie, Simulation","Single-player, Co-op, Local Co-op, VR Support","Simulation (43), Adventure (40), Indie (35), VR (34), Free to Play (18), Magic (14), Horror (7), VR Only (1)",14,274665 +/- 16121,171233 +/- 12730,62.34%
