Time Recorded,Total Apps,Store Entry Used,,,
12/9/2016 13:30,518,http://store.steampowered.com/search/?tags=21978&vrsupport=401,,,
,,,,,
Steam App ID,Game Name,Price,Release Date,Review Percentage,Review Count
342180,Arizona Sunshine,33.99,6-Dec-16,82%,470
436320,Raw Data,39.99,14-Jul-16,85%,955
530350,Smashbox Arena,23.99,7-Dec-16,100%,29
450540,"Hot Dogs, Horseshoes & Hand Grenades",19.99,5-Apr-16,96%,557
448280,Job Simulator,29.99,5-Apr-16,86%,100
496240,Onward,24.99,29-Aug-16,93%,937
322770,Vanishing Realms,19.99,5-Apr-16,95%,1
327140,Tilt Brush,29.99,5-Apr-16,100%,75
418650,Space Pirate Trainer,14.99,5-Apr-16,96%,880
412740,Audioshield,19.99,5-Apr-16,91%,1
446750,Portal Stories: VR,0,16-May-16,95%,509
471710,Rec Room,0,28-Jun-16,99%,719
436820,Waltz of the Wizard,0,31-May-16,99%,506
450390,The Lab,0,5-Apr-16,99%,1
518580,Accounting,0,18-Oct-16,97%,959
348250,Google Earth VR,0,16-Nov-16,98%,809
440630,The Brookhaven Experiment,19.99,5-Jul-16,88%,452
451520,theBlu,9.99,5-Apr-16,89%,526
530120,VR The Diner Duo,12.99,2-Nov-16,96%,96
427760,A Chair in a Room : Greenwater,24.99,30-Mar-16,91%,319
520010,Climbey,9.99,25-Oct-16,97%,181
451840,Out of Ammo,19.99,14-Sep-16,93%,457
269170,Pool Nation VR,19.99,1-Jun-16,96%,452
465240,Serious Sam VR: The Last Hope,39.99,17-Oct-16,90%,476
517160,Richie's Plank Experience,7.99,19-Sep-16,91%,112
457960,Holopoint,14.99,4-Apr-16,94%,504
425720,Cloudlands : VR Minigolf,19.99,5-Apr-16,81%,181
477270,Lightblade VR,3.99,31-May-16,85%,281
486780,Fruit Ninja VR,14.99,7-Jul-16,93%,191
512220,Trickster VR - Procedural Dungeon Crawler,9.99,12-Aug-16,91%,100
534000,Fast Action Hero,11.99,3-Oct-16,96%,53
414120,Modbox,19.99,5-Apr-16,91%,58
459010,Ghost Town Mine Ride & Shootin' Gallery,8.99,28-Oct-16,93%,156
270130,The Gallery - Episode 1: Call of the Starseed,19.99,5-Apr-16,85%,560
476700,Island 359,19.99,23-Aug-16,82%,139
527160,Cmoar VR Cinema,9.99,29-Sep-16,83%,62
521950,Bullet Sorrow VR,19.99,30-Nov-16,94%,84
489600,The Golf Club VR,24.99,19-Oct-16,91%,96
485780,SoundStage,9.99,6-Jul-16,98%,151
410570,Gunjack,9.99,5-Apr-16,82%,109
496250,Paddle Up,9.99,24-Aug-16,92%,170
457320,HoloBall,14.99,25-Apr-16,93%,321
488310,Eleven: Table Tennis VR,9.99,22-Sep-16,92%,309
494150,The Thrill of the Fight - VR Boxing,9.99,1-Jul-16,90%,150
435490,Pierhead Arcade,9.99,21-Sep-16,94%,128
